# Pin Out For MachXO5-NX 25K,,,,,,,,,
# Revision 0.90,,,,,,,,,
"# Revised May, 5, 2022",,,,,,,,,
# Initial release based on PKT ver7,,,,,,,,,
# Revision 1.00,,,,,,,,,
"# Revised May, 21, 2023",,,,,,,,,
# Final release,,,,,,,,,
,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG400,BBG256
0,VSS,-,99,-,-,-,-,Y1,-
0,VSSADC,-,70,-,-,-,-,W17,P13
0,VCC,-,99,-,-,-,-,F17,F13
0,VCC,-,99,-,-,-,-,K11,K7
0,VCC,-,99,-,-,-,-,K9,F4
0,VCC,-,99,-,-,-,-,M9,-
0,VCC,-,99,-,-,-,-,F4,-
0,VCCECLK,VCC,99,-,-,-,-,M10,K8
0,VCCADC18,-,70,-,-,-,-,W16,R13
0,VCCAUX,-,99,-,-,-,-,E12,E10
0,VCCAUX,-,99,-,-,-,-,L11,J9
0,VCCAUX,-,99,-,-,-,-,J9,-
0,VCCAUXA,VCCAUX,99,-,-,-,-,J11,G8
0,VCCAUXA,VCCAUX,99,-,-,-,-,E9,E7
0,VCCAUXH5,VCCAUX,99,-,-,-,-,P12,M10
0,VCCAUXH6,VCCAUX,99,-,-,-,-,R8,N5
0,VCCIO0,-,0,-,-,-,-,C9,C7
0,VCCIO0,-,0,-,-,-,-,C7,C4
0,VCCIO0,-,0,-,-,-,-,C4,-
0,VCCIO1,-,1,-,-,-,-,C17,C13
0,VCCIO1,-,1,-,-,-,-,C14,C10
0,VCCIO1,-,1,-,-,-,-,C12,-
0,VCCIO2,-,2,-,-,-,-,F19,F15
0,VCCIO2,-,2,-,-,-,-,H17,G14
0,VCCIO3,-,3,-,-,-,-,L18,K14
0,VCCIO3,-,3,-,-,-,-,M15,-
0,VCCIO4,-,4,-,-,-,-,R18,N13
0,VCCIO4,-,4,-,-,-,-,U17,-
0,VCCIO5,-,5,-,-,-,-,V14,N11
0,VCCIO5,-,5,-,-,-,-,T12,P10
0,VCCIO6,-,6,-,-,-,-,T9,N7
0,VCCIO6,-,6,-,-,-,-,V8,P6
0,VCCIO7,-,7,-,-,-,-,W4,N3
0,VCCIO7,-,7,-,-,-,-,U3,-
0,VCCIO8,-,8,-,-,-,-,N6,K3
0,VCCIO8,-,8,-,-,-,-,M3,-
0,VCCIO9,-,9,-,-,-,-,H4,G3
0,VCCIO9,-,9,-,-,-,-,F2,F2
0,NC_PL71,-,99,-,-,-,-,W5,-
0,NC_PL72,-,99,-,-,-,-,W6,-
0,NC_PL73,-,99,-,-,-,-,Y2,-
0,NC_PL74,-,99,-,-,-,-,Y3,-
0,NC_PL75,-,99,-,-,-,-,Y4,-
0,NC_PL76,-,99,-,-,-,-,Y5,-
0,NC_PL77,-,99,-,-,-,-,Y6,-
0,NC_PR41,-,99,-,-,-,-,V18,-
0,NC_PR42,-,99,-,-,-,-,V17,-
0,NC_PR43,-,99,-,-,-,-,V16,-
0,NC_PR44,-,99,-,-,-,-,W20,-
0,NC_PR45,-,99,-,-,-,-,W19,-
0,NC_PR46,-,99,-,-,-,-,W18,-
0,NC_PT01,-,99,-,-,-,-,A10,-
0,NC_PT02,-,99,-,-,-,-,B10,-
0,NC_PT03,-,99,-,-,-,-,C10,-
0,NC_PT04,-,99,-,-,-,-,D10,-
0,NC_PT05,-,99,-,-,-,-,B18,-
0,NC_PT06,-,99,-,-,-,-,C18,-
0,NC_PT07,-,99,-,-,-,-,E10,-
0,NC_PT08,-,99,-,-,-,-,F10,-
0,NC_PT09,-,99,-,-,-,-,G10,-
0,NC_PT10,-,99,-,-,-,-,H10,-
0,NC_PT11,-,99,-,-,-,-,A19,-
0,NC_PT12,-,99,-,-,-,-,B19,-
0,NC_PT13,-,99,-,-,-,-,C19,-
0,NC_PT14,-,99,-,-,-,-,D18,-
