# Pin Out For MachXO5-NX 25K,,,,,,,,,
# Revision 0.90,,,,,,,,,
"# Revised May, 5, 2022",,,,,,,,,
# Initial release based on PKT ver7,,,,,,,,,
# Revision 1.00,,,,,,,,,
"# Revised May, 21, 2023",,,,,,,,,
# Final release,,,,,,,,,
,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG400,BBG256
214,PL46A,-,7,-,PCLKT7_1/EIO,True_OF_PL46B,-,V1,P3
215,PL46B,-,7,-,EIO,Comp_OF_PL46A,-,V2,P4
222,PL47A,-,7,-,EIO,True_OF_PL47B,-,V3,R1
223,PL47B,-,7,-,EIO,Comp_OF_PL47A,-,V4,R2
226,PL48A,-,7,-,EIO,True_OF_PL48B,-,V5,-
227,PL48B,-,7,-,EIO,Comp_OF_PL48A,-,V6,-
230,PL49A,-,7,-,EIO,True_OF_PL49B,-,W1,-
231,PL49B,-,7,-,EIO,Comp_OF_PL49A,-,W2,-
256,PB2A,-,6,BDQ6,VREF6_1,True_OF_PB2B,TRUE,N8,R3
259,PB2B,-,6,BDQ6,-,Comp_OF_PB2A,TRUE,P8,R4
260,PB4A,-,6,BDQ6,-,True_OF_PB4B,TRUE,T8,-
263,PB6A,-,6,BDQS6,PCLKT6_0/CDR_RXP0/ADC_CP0/COMP1P,True_OF_PB6B,TRUE,W7,T2
264,PB4B,-,6,BDQ6,-,Comp_OF_PB4A,TRUE,U8,-
270,PB6B,-,6,BDQSN6,PCLKC6_0/CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB6A,TRUE,Y7,T3
271,PB8A,-,6,BDQ6,PCLKT6_1/ADC_CP1/COMP2P,True_OF_PB8B,TRUE,W8,T4
274,PB8B,-,6,BDQ6,PCLKC6_1/ADC_CN1/COMP2N,Comp_OF_PB8A,TRUE,Y8,T5
276,PB10A,-,6,BDQ6,CDR_RXP1/ADC_CP3,True_OF_PB10B,TRUE,N9,P5
278,PB10B,-,6,BDQ6,CDR_RXN1/ADC_CN3,Comp_OF_PB10A,TRUE,P9,R5
279,PB12A,-,6,BDQ6,PCLKT6_2/ADC_CP2/COMP3P,True_OF_PB12B,TRUE,U9,R6
283,PB12B,-,6,BDQ6,PCLKC6_2/ADC_CN2/COMP3N,Comp_OF_PB12A,TRUE,V9,R7
286,PB14A,-,6,BDQ18,CDR0_TESTP/ADC_CP5,True_OF_PB14B,TRUE,N10,M6
289,PB14B,-,6,BDQ18,CDR0_TESTN/ADC_CN5,Comp_OF_PB14A,TRUE,P10,M7
290,PB16A,-,6,BDQ18,CDR1_TESTP/ADC_CP7,True_OF_PB16B,TRUE,R10,L7
293,PB16B,-,6,BDQ18,CDR1_TESTN/ADC_CN7,Comp_OF_PB16A,TRUE,T10,L8
295,PB18A,-,6,BDQS18,ADC_CP6,True_OF_PB18B,TRUE,W9,T6
297,PB18B,-,6,BDQSN18,ADC_CN6,Comp_OF_PB18A,TRUE,Y9,T7
298,PB32A,-,6,BDQ18,ADC_CP9,True_OF_PB32B,TRUE,U10,-
302,PB34A,-,6,BDQ18,PCLKT6_3/ADC_CP10,True_OF_PB34B,TRUE,W10,R8
303,PB32B,-,6,BDQ18,ADC_CN9,Comp_OF_PB32A,TRUE,V10,-
308,PB34B,-,6,BDQ18,PCLKC6_3/ADC_CN10,Comp_OF_PB34A,TRUE,Y10,T8
309,PB36A,-,6,BDQ18,-,True_OF_PB36B,TRUE,N11,N8
315,PB36B,-,6,BDQ18,VREF6_2,Comp_OF_PB36A,TRUE,P11,P8
326,PB38A,-,5,BDQ42,VREF5_1/ADC_CP4,True_OF_PB38B,TRUE,V11,P9
329,PB38B,-,5,BDQ42,ADC_CN4,Comp_OF_PB38A,TRUE,U11,N9
330,PB40A,-,5,BDQ42,COMP1IP/PCLKT5_0,True_OF_PB40B,TRUE,T11,M8
335,PB42A,-,5,BDQS42,PCLKT5_1/ADC_CP8,True_OF_PB42B,TRUE,Y11,T9
336,PB40B,-,5,BDQ42,COMP1IN/PCLKC5_0,Comp_OF_PB40A,TRUE,R11,M9
340,PB42B,-,5,BDQSN42,PCLKC5_1/ADC_CN8,Comp_OF_PB42A,TRUE,W11,R9
341,PB44A,-,5,BDQ42,COMP2IP,True_OF_PB44B,TRUE,V12,L9
344,PB44B,-,5,BDQ42,COMP2IN,Comp_OF_PB44A,TRUE,U12,L10
346,PB46A,-,5,BDQ42,PCLKT5_2/ADC_CP13,True_OF_PB46B,TRUE,Y12,T10
